,,,,,,,,,,,,,,,,,,,,,,,,95.0,KCA,18049.0,18526.0,COVISAN 6 (Salón Comunal),Ayuí y Setembrino Pereda,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,96.0,KCA,18527.0,18966.0,COVISAN 10 (Salón Comunal),Zorrilla de San Martín e Instrucciones del año XIII,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,97.0,KCA,18967.0,19404.0,COVISAN 10 (Salón Comunal),Zorrilla de San Martín e Instrucciones del año XIII,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,98.0,KCA,19405.0,19833.0,Escuela No. 33,L. Batlle Berres y H. Meriggi,410.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,99.0,KCA,19834.0,20260.0,Escuela No. 33,L. Batlle Berres y H. Meriggi,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,100.0,KCA,20261.0,20684.0,Escuela No. 33,L. Batlle Berres y H. Meriggi,400.0,S,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,101.0,KCA,20685.0,21101.0,Tiro Suizo,Avda. Salto esq. Baldomero Vidal,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,,,,,,,,102.0,KCA,21102.0,21514.0,COVINOR II (Salón Comunal),33 Orientales esq. H. Meriggi,400.0,N,URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,111.0,KCB,11588.0,12607.0,Escuela No.  42,Joaquín Suarez y Uruguay,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,112.0,KCB,12608.0,13610.0,Escuela No.  42,Joaquín Suarez y Uruguay,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,113.0,KCB,13611.0,14410.0,Escuela No.  42,Joaquín Suarez y Uruguay,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,114.0,KCB,14411.0,15272.0,CAIF Barrio Artigas,Larrañaga esq. Grito de Asencio,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
,,,,,,,,,,,,,,,,,URBANO,,,,,,,,,,,,,410.0,,,115.0,KCB,15273.0,16142.0,CAIF Barrio Artigas,Larrañaga esq. Grito de Asencio,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,planes_circuitales\Paysandu.pdf
