Unnamed: 0,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
142,HBD,9170,9596,Santa Isabel,"Escuela N°64 -T. Completo P/A, Telmo Eula y M.Calleros",400,N,U,planes_circuitales\Rivera.pdf
143,HBD,9597,10047,Santa Isabel,"Escuela N°64 -T. Completo P/A, Telmo Eula y M.Calleros",405,N,U,planes_circuitales\Rivera.pdf
144,HBE,1,3952,33 Orientales,"Jardín N°152, M.Lavalleja s/n",396,S,U,planes_circuitales\Rivera.pdf
145,HBE,3953,5268,33 Orientales,"Jardín N°152, M.Lavalleja s/n",396,S,U,planes_circuitales\Rivera.pdf
146,HBE,5269,6361,33 Orientales,"Jardín N°152, M.Lavalleja s/n",396,S,U,planes_circuitales\Rivera.pdf
147,HBE,6362,7224,33 Orientales,"Jardín N°152, M.Lavalleja s/n",396,S,U,planes_circuitales\Rivera.pdf
148,HBE,7225,7997,33 Orientales,"Escuela N°88, Simón del Pino s/n",396,N,U,planes_circuitales\Rivera.pdf
149,HBE,7998,8998,33 Orientales,"Escuela N°88, Simón del Pino s/n",396,N,U,planes_circuitales\Rivera.pdf
HBE,8999,9604,33 Orientales,"Escuela N°88, Simón del Pino s/n",396,N,U,,planes_circuitales\Rivera.pdf
151,HBE,9605,10119,33 Orientales,"Escuela N°88, Simón del Pino s/n",396,N,U,planes_circuitales\Rivera.pdf
152,HBE,10120,10631,33 Orientales,"Escuela N°88, Simón del Pino s/n",396,N,U,planes_circuitales\Rivera.pdf
153,HBE,10632,11108,Villa Sonia,"Centro Barrial, M.Meléndez y Gregorio Sanabria",396,N,U,planes_circuitales\Rivera.pdf
154,HBE,11109,11573,Villa Sonia,"Centro Barrial, M.Meléndez y Gregorio Sanabria",396,N,U,planes_circuitales\Rivera.pdf
155,HBE,11574,12016,33 Orientales,"Caif 33 Orientales, Simón del Pino N°251",396,N,U,planes_circuitales\Rivera.pdf
156,HBE,12017,12446,33 Orientales,"Caif 33 Orientales, Simón del Pino N°251",396,N,U,planes_circuitales\Rivera.pdf
