Circuito,Serie,Desde,Hasta,Localidad,Local,Habilitados,Accesible,Urb/Rur,file
19,QAA,40237,41003,Antonio Ma Fernandez esq. Rodó,Escuela No 1 Artigas,400.0,SI,Urbano,planes_circuitales\Florida.pdf
20,QAA,41004,42066,Antonio Ma Fernandez esq. Rodó,Escuela No 1 Artigas,400.0,SI,Urbano,planes_circuitales\Florida.pdf
21,QAA,42067,42700,Gral. Venancio Flores No 541,U.T.U.,400.0,NO,Urbano,planes_circuitales\Florida.pdf
22,QAA,42701,43289,Gral. Venancio Flores No 541,U.T.U.,400.0,NO,Urbano,planes_circuitales\Florida.pdf
23,QAA,43290,43892,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,SI,Urbano,planes_circuitales\Florida.pdf
24,QAA,43893,44678,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,SI,Urbano,planes_circuitales\Florida.pdf
25,QAA,44679,45496,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,SI,Urbano,planes_circuitales\Florida.pdf
26,QAA,45497,46370,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,NO,Urbano,planes_circuitales\Florida.pdf
27,QAA,46371,46984,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,NO,Urbano,planes_circuitales\Florida.pdf
28,QAA,46985,47603,18 de Julio esq. Batlle y Ordoñez,U.T.U.,400.0,NO,Urbano,planes_circuitales\Florida.pdf
29,QAA,47604,48201,Independencia esq. 18 de Julio,Escuela No 2 Varela,400.0,SI,Urbano,planes_circuitales\Florida.pdf
30,QAA,48202,48789,Independencia esq. 18 de Julio,Escuela No 2 Varela,400.0,SI,Urbano,planes_circuitales\Florida.pdf
31,QAA,48790,49356,Calleros esq. Z.Michelini,Liceo No 3,400.0,SI,Urbano,planes_circuitales\Florida.pdf
33,QAA,50108,50674,Calleros esq. Z.Michelini,Liceo No 3,400.0,SI,Urbano,planes_circuitales\Florida.pdf
34,QAA,50675,51202,Calleros esq. Z.Michelini,Liceo No 3,400.0,SI,Urbano,planes_circuitales\Florida.pdf
35,QAA,51203,51752,Calleros esq. Z.Michelini,Liceo No 3,400.0,SI,Urbano,planes_circuitales\Florida.pdf
36,QAA,51753,52326,A. Saravia casi Z. Michelini,Jardín de Infantes No 117,400.0,NO,Urbano,planes_circuitales\Florida.pdf
37,QAA,52327,52869,A. Saravia casi Z. Michelini,Jardín de Infantes No 117,400.0,NO,Urbano,planes_circuitales\Florida.pdf
38,QAA,52870,53409,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,SI,Urbano,planes_circuitales\Florida.pdf
39,QAA,53410,53939,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,SI,Urbano,planes_circuitales\Florida.pdf
40,QAA,53940,54563,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,SI,Urbano,planes_circuitales\Florida.pdf
41,QAA,54564,55090,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,SI,Urbano,planes_circuitales\Florida.pdf
42,QAA,55091,55599,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,NO,Urbano,planes_circuitales\Florida.pdf
43,QAA,55600,56082,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,NO,Urbano,planes_circuitales\Florida.pdf
44,QAA,56083,56638,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,NO,Urbano,planes_circuitales\Florida.pdf
45,QAA,56639,57114,U. Barreiro esq. M. Oribe,Liceo No 1,400.0,NO,Urbano,planes_circuitales\Florida.pdf
46,QAA,57115,57644,Juan I Cardozo esq Batlle y Ordoñez,Asociación de Pasivos,400.0,NO,Urbano,planes_circuitales\Florida.pdf
47,QAA,57645,58206,Juan I Cardozo esq Batlle y Ordoñez,Asociación de Pasivos,400.0,NO,Urbano,planes_circuitales\Florida.pdf
48,QAA,58207,58753,Batlle y Ordoñez casi Cardozo,Asociación de Pasivos,400.0,SI,Urbano,planes_circuitales\Florida.pdf
49,QAA,58754,59224,Batlle y Ordoñez casi Cardozo,Asociación de Pasivos,400.0,SI,Urbano,planes_circuitales\Florida.pdf
50,QAA,59225,59686,Juan I Cardozo esq Antonio Ma Fernandez,Escuela No 103 de Recueperación,400.0,NO,Urbano,planes_circuitales\Florida.pdf
51,QAA,59687,60140,Juan I Cardozo esq Antonio Ma Fernandez,Escuela No 103 de Recueperación,400.0,NO,Urbano,planes_circuitales\Florida.pdf
52,QAA,60141,60600,Pocho Fernandez No 3550,Escuela No 4,400.0,NO,Urbano,planes_circuitales\Florida.pdf
53,QAA,60601,61065,Pocho Fernandez No 3550,Escuela No 4,400.0,NO,Urbano,planes_circuitales\Florida.pdf
54,QAA,61066,61533,Pocho Fernandez (entrada puerta del medio),Escuela No 4,400.0,NO,Urbano,planes_circuitales\Florida.pdf
55,QAA,61534,61989,Pocho Fernandez (entrada puerta del medio),Escuela No 4,400.0,NO,Urbano,planes_circuitales\Florida.pdf
56,QAA,61990,62480,Pocho Fernandez (entrada salón de Actos),Escuela No 4,400.0,si,Urbano,planes_circuitales\Florida.pdf
57,QAA,62481,62920,Independencia No 755,Centro Democrático,400.0,NO,Urbano,planes_circuitales\Florida.pdf
58,QAA,62921,63356,Independencia No 755,Centro Democrático,400.0,NO,Urbano,planes_circuitales\Florida.pdf
